NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
65.01;28.75;U Bravo (2);15;Paris_Paris;0;7;0;93;0;0;0;100;0;100;0;24.8;16.1;52;hiver;Matin
142.72;30.27;U Charlie (1);13;Paris_Paris;0;0;0;100;0;0;0;100;0;100;0;20.1;8.6;27.5;ete;Soir
57.36;29.66;U Charlie (2);14;Paris_Paris;0;17;0;83;0;0;0;100;0;100;0;24.6;17.4;54.5;hiver;Matin
107.59;58.53;U Delta (1);18;Paris_Paris;0;5;0;95;0;0;0;100;0;100;0;20.4;8.3;28.5;ete;Soir
100.93;44.09;U Delta (2);10;Paris_Paris;0;86;0;14;0;0;0;100;0;100;0;26.1;19.5;55;hiver;Matin
73.8;27.89;U Echo (1);21;Paris_Paris;0;41;0;59;0;0;0;100;0;100;0;18.8;7.6;30.5;ete;Soir
142.22;83.7;U Echo (2);24;Paris_Paris;0;87;0;13;0;0;0;100;0;100;0;34.4;17.5;56.5;hiver;Matin
127.6;76.95;U Foxtrot (1);28;Paris_Paris;0;19;0;81;0;0;0;100;0;100;0;16.1;7.1;22;ete;Soir
129.4;42.39;U Foxtrot (2);14;Paris_Paris;0;67;0;33;0;0;5;100;0;100;0;38;18.2;53;hiver;Matin
185.56;66.62;U Golf (1);8;Paris_Paris;0;0;0;100;0;0;0;100;0;100;0;14.8;6;19;ete;Soir
105.23;41.75;U Golf (2);14;Paris_Paris;0;0;0;100;0;0;0;100;0;100;0;34.9;20.4;52;hiver;Matin
93.78;NA;V Alpha (1);21;Paris_Paris;0;72;0;28;0;0;0;100;0;100;0;NA;NA;27;ete;Matin
96.13;86.22;V Alpha (2);22;Paris_Paris;0;56;0;44;0;0;0;100;0;100;0;43.4;33.2;NA;ete;Soir
84.8;45.49;V Alpha (3);17;Paris_Paris;0;69;0;31;0;0;0;100;0;100;0;26.8;13.7;45;hiver;Matin
134.74;100.57;V Alpha (4);13;Paris_Paris;0;53;0;47;0;0;0;100;0;100;0;17.2;10.2;64;hiver;Soir
155.24;61.91;V Bravo (1);14;Paris_Paris;0;53;0;47;0;0;0;100;0;100;0;NA;NA;27;ete;Matin
54.25;44.93;V Bravo (2);17;Paris_Paris;0;71;0;29;0;0;0;100;0;100;0;40.8;29.8;NA;ete;Soir
115.63;98.36;V Bravo (3);14;Paris_Paris;0;50;0;50;0;0;0;100;0;100;0;27.3;13.9;46;hiver;Matin
141.37;140.33;V Bravo (4);14;Paris_Paris;0;40;0;60;0;0;0;100;0;100;0;16.7;10.3;65.5;hiver;Soir
113.54;70.25;V Charlie (1);16;Paris_Paris;0;100;0;0;0;0;0;100;0;100;0;NA;NA;27;ete;Matin
108.4;64.69;V Charlie (2);7;Paris_Paris;0;61;0;39;0;0;0;100;0;100;0;35.4;23.4;NA;ete;Soir
151.14;131.27;V Charlie (3);13;Paris_Paris;0;100;0;0;0;0;0;100;0;100;0;28.1;14.6;48.5;hiver;Matin
221.7;57.82;V Charlie (4);7;Paris_Paris;0;100;0;0;0;0;0;100;0;100;0;14.5;9.8;64;hiver;Soir
100.22;44.51;V Delta (1);15;Paris_Paris;0;42;0;58;0;0;0;100;0;100;0;NA;NA;23.5;ete;Matin
69.22;52.76;V Delta (2);19;Paris_Paris;0;83;0;17;0;0;0;100;0;100;0;38.3;26;NA;ete;Soir
164.79;100.72;V Delta (3);19;Paris_Paris;0;34;0;66;0;0;0;100;0;100;0;31.6;17.2;53;hiver;Matin
135.04;74.03;V Delta (4);11;Paris_Paris;0;31;0;69;0;0;0;100;0;100;0;14.2;8.8;62;hiver;Soir
128.5;73.53;V Echo (1);14;Paris_Paris;0;100;0;0;0;0;0;100;0;100;0;NA;NA;27;ete;Matin
66.3;58.26;V Echo (2);20;Paris_Paris;0;88;0;12;0;0;0;100;0;100;0;40.1;28.1;NA;ete;Soir
159.49;107.86;V Echo (3);12;Paris_Paris;0;91;0;9;0;0;0;100;0;100;0;34.9;18.6;56;hiver;Matin
182.7;62.52;V Echo (4);12;Paris_Paris;0;83;0;17;0;0;0;100;0;100;0;13.9;7.7;55.5;hiver;Soir
125.3;36.99;V Foxtrot (1);13;Paris_Paris;0;66;0;34;0;0;0;100;0;100;0;NA;NA;30;ete;Matin
62.49;55.29;V Foxtrot (2);27;Paris_Paris;0;56;0;44;0;0;0;100;0;100;0;41.8;31;NA;ete;Soir
151.63;109.31;V Foxtrot (3);12;Paris_Paris;0;71;0;29;0;0;0;100;0;100;0;44.4;20.2;58;hiver;Matin
126.33;52.68;V Foxtrot (4);14;Paris_Paris;0;51;0;49;0;0;0;100;0;100;0;11.8;8.5;53.5;hiver;Soir
