n°	Del	Doute	Per	P	jour	h	Sexe	Age	A	Occu	Lieu	Bilan	Dev	Dec	Cou
65	OK	0	P2	Pb	650304	NA	F	40	adu	NA	NA	M	1	0	1
67	OK	0	P2	Pb	650308	NA	M	9	enf	NA	NA	M	0	1	1
69	OK	0	P2	Pb	650309	NA	F	30	adu	NA	NA	M	0	1	1
70	OK	0	P2	Pb	650311	15	F	3	enf	NA	m	M	0	0	1
72	OK	0	P2	Pb	650312	24	F	ado	ado	NA	v	B	0	0	0
73	OK	0	P2	Pb	650313	NA	F	6	enf	NA	m	B	0	0	0
74	OK	0	P2	Pb	650314	NA	M	6	enf	NA	NA	M	1	0	0
75	OK	0	P2	Pb	650315	20	M	14	ado	NA	r	M	1	0	0
77	OK	0	P2	Pb	650319	20	M	10	enf	NA	NA	M	1	0	0
80	OK	0	P2	Pb	650329	14	M	9	enf	NA	v	M	1	0	1
82	OK	0	P2	Pb	650403	NA	M	10	enf	b	NA	M	1	0	0
83	OK	0	P2	Pb	650404	NA	F	12	enf	NA	v	M	1	1	1
84	OK	0	P2	Pb	650405	NA	M	enf	enf	NA	p	M	1	0	0
85	OK	0	P2	Pb	650407	NA	F	17	ado	NA	NA	M	1	1	1
86	OK	0	P2	Pb	650408	NA	M	enf	enf	NA	NA	B	0	0	0
86	OK	0	P2	Pb	650408	NA	F	enf	enf	NA	NA	M	0	0	0
89	OK	0	P2	Pb	650418	NA	M	13	ado	NA	p	M	1	0	1
90	OK	0	P2	Pb	650422	NA	M	15	ado	b	NA	B	0	0	0
91	OK	0	P3	Pb	650502	17	F	32	adu	b	NA	M	1	1	1
94	OK	0	P3	Pb	650519	NA	F	45	adu	b	NA	M	1	1	1
95	OK	0	P3	Pb	650521	NA	M	ado	ado	NA	v	B	0	0	0
96	OK	0	P3	Pb	650524	8	M	11	enf	NA	NA	BL	0	0	0
97	OK	0	P3	Pb	650524	8	F	13	ado	b	p	M	1	1	1
98	OK	0	P3	Pb	650524	NA	F	20	ado	NA	NA	M	0	0	1
99	OK	0	P3	Pb	650524	20	F	18	ado	b	NA	B	0	0	0
100	OK	0	P3	Pb	650528	NA	M	adu	adu	NA	v	B	0	0	0
101	OK	0	P3	Pb	650601	NA	F	11	enf	NA	b	M	1	0	1
104	OK	0	P3	Pb	650616	NA	F	10	enf	NA	NA	B	0	0	0
105	OK	0	P3	Pb	650621	8	M	13	ado	NA	NA	M	0	1	1
106	OK	0	P3	Pb	650621	12	F	45	adu	NA	NA	M	0	1	1
107	OK	0	P3	Pb	650621	13	F	12	enf	b	NA	BG	0	0	0
108	OK	0	P3	Pb	650621	16	F	10	enf	NA	NA	BG	1	0	0
109	OK	0	P3	Pb	650630	NA	M	40	adu	NA	NA	BG	0	0	0
111	OK	0	P3	Pb	650704	12	F	68	adu	b	NA	M	0	0	1
115	OK	0	P3	Pb	650722	19	M	9	enf	NA	v	M	1	0	1
117	OK	0	P3	Pb	650727	20	M	4	enf	NA	NA	BG	0	0	0
118	OK	0	P3	Pb	650729	NA	F	enf	enf	NA	NA	M	1	0	0
